Name,IGDB_Name,Aggregated_Rating,Age_Ratings_IDs
Halo: Reach,Halo: Reach,89.0,"[7968, 91851, 92735, 124988, 7967]"
Mario Kart 64,Mario Kart 64,81.0,"[339, 49251, 81781, 82838]"
New Super Mario Bros. 2,New Super Mario Bros. 2,77.08333333333333,"[190277, 36307, 50779, 50780, 50781, 47135]"
Halo 4,Halo 4,87.5,"[189543, 67888, 34802, 116694, 62651, 62653]"
Final Fantasy VII,Final Fantasy VII,85.0,"[91652, 77037, 77040, 80208, 77045]"
Call of Duty: Ghosts,Call of Duty: Ghosts,73.6086956521739,"[90697, 167097, 188058, 100283, 111068, 100285, 100286]"
Just Dance 2,Just Dance 2,69.96256374410308,"[190152, 8606]"
Gran Turismo 2,Gran Turismo 2,81.61867110146954,"[5249, 29940]"
Call of Duty 4: Modern Warfare,Call of Duty 4: Modern Warfare,57.30015927247217,[63760]
Donkey Kong Country,Donkey Kong Country,79.66666666666667,"[49125, 135497, 36716, 47216, 68370, 13496, 64798]"
Minecraft,Minecraft,80.15842955711675,"[33580, 47376, 47377, 47378, 47379, 47380, 47381]"
Animal Crossing: New Leaf,Animal Crossing: New Leaf,88.3,"[36128, 190329, 99899, 47189]"
Mario Party DS,Mario Party DS,55.0,"[64704, 38890, 96237, 47127]"
The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,79.91666666666667,"[192433, 192434, 192435, 188404, 117271, 55864, 96218]"
Super Mario Kart,,,
FIFA 16,FIFA 16,83.23076923076923,"[67372, 45477, 13302]"
Wii Party,Wii Party,70.0,"[60355, 48965, 13269, 68031]"
Halo 2,Halo 2,80.66666666666667,"[44856, 1159]"
Mario Party 8,Mario Party 8,57.66666666666666,"[80041, 80042, 80043, 202, 36301, 81746, 47124]"
Pokemon Black 2/Pokemon White 2,,,
FIFA Soccer 13,FIFA Soccer 13,85.06666666666666,"[167016, 69946, 189141, 167015]"
The Sims 3,The Sims 3,,[]
GoldenEye 007,GoldenEye 007,88.0,"[64555, 26307]"
Mario & Sonic at the Olympic Games,Mario & Sonic at the Olympic Games,65.5,"[70032, 16113]"
Final Fantasy X,Final Fantasy X,95.0,"[6462, 132790]"
Final Fantasy VIII,Final Fantasy VIII,90.0,"[74344, 74345, 74342, 74343]"
Pokémon Platinum Version,Pokémon Platinum Version,78.6,"[8707, 8708, 48902]"
Pac-Man,Pac-Man,,[]
Grand Theft Auto: Liberty City Stories,Grand Theft Auto: Liberty City Stories,83.75,"[211341, 1424, 47927, 47928, 47929, 47930, 47931, 47932]"
Super Mario Galaxy 2,Super Mario Galaxy 2,96.25,"[98144, 197001, 47146, 197003, 197002, 190256, 36446]"
Star Wars Battlefront (2015),,,
